Churn_bin,Partner_bin,Dependents_bin,PhoneService_bin,MultipleLines_bin,OnlineSecurity_bin,OnlineBackup_bin,DeviceProtection_bin,TechSupport_bin,StreamingTV_bin,StreamingMovies_bin,PaperlessBilling_bin,Cuentas_Diarias
0.0,1,1,1,1,0,0,0,0,0,0,0,0.85
0.0,1,1,1,0,1,1,1,0,0,0,1,2.0533333333333332
0.0,0,1,0,0,1,1,1,1,0,0,1,1.5
0.0,1,0,1,1,0,1,1,1,1,1,1,2.8383333333333334
0.0,0,0,1,0,0,1,0,0,0,0,0,1.715
0.0,0,0,1,0,0,0,1,1,1,1,1,3.308333333333333
0.0,0,0,1,0,0,0,0,0,0,0,1,1.4766666666666666
0.0,0,0,1,0,0,0,0,1,1,1,1,3.14
0.0,0,0,1,1,1,1,1,1,1,0,0,2.7083333333333335
0.0,1,1,1,1,0,0,0,1,1,1,1,3.3316666666666666
0.0,0,0,1,0,0,0,0,0,1,1,1,3.0516666666666667
1.0,0,0,1,1,0,1,1,0,1,1,1,3.4833333333333334
1.0,0,0,1,0,0,1,0,0,1,1,1,3.1666666666666665
0.0,1,0,1,1,0,0,0,0,0,0,0,1.6783333333333335
0.0,0,0,1,1,1,0,0,0,0,1,1,2.15
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6466666666666666
0.0,1,0,1,1,0,1,1,0,1,1,1,3.493333333333333
0.0,1,0,1,1,0,1,1,1,1,1,1,3.646666666666667
0.0,1,0,1,0,0,0,1,0,0,0,0,1.6766666666666665
0.0,0,0,1,1,0,1,1,0,0,1,1,2.3800000000000003
0.0,1,0,1,1,1,1,1,1,1,1,1,3.8666666666666667
1.0,0,0,1,0,0,0,0,0,0,0,1,0.6616666666666667
1.0,0,1,1,1,0,0,1,0,1,1,1,3.325
0.0,1,1,1,0,0,1,0,0,1,1,1,3.131666666666667
0.0,1,1,1,1,0,0,1,0,1,0,1,3.0266666666666664
1.0,1,0,1,1,1,0,1,1,1,1,0,2.8116666666666665
0.0,1,0,0,0,0,1,1,1,1,1,0,1.9416666666666667
0.0,0,0,1,1,0,1,1,0,1,1,0,3.585
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6649999999999999
1.0,1,0,1,1,0,1,1,1,1,1,1,3.7066666666666666
1.0,1,1,0,0,1,1,1,0,0,0,0,1.34
0.0,0,0,1,0,1,0,0,0,1,0,1,2.86
,0,0,1,0,0,0,0,0,0,0,1,0.6633333333333333
0.0,0,0,0,0,1,0,0,1,0,0,1,1.18
1.0,0,0,1,1,0,0,0,0,0,0,1,2.4616666666666664
0.0,1,1,1,1,1,1,1,1,1,1,0,2.9366666666666665
1.0,0,0,1,0,0,0,1,1,1,1,1,3.378333333333333
0.0,0,1,0,0,1,0,0,1,0,1,0,1.5266666666666666
0.0,1,0,1,0,0,0,1,0,1,1,1,3.1550000000000002
0.0,1,1,1,0,0,0,0,0,0,0,1,0.6833333333333333
0.0,0,0,1,1,0,1,0,0,0,1,0,2.98
1.0,0,0,1,0,1,1,0,1,0,0,1,2.875
0.0,0,0,1,0,0,0,1,1,1,1,0,2.4949999999999997
1.0,0,0,1,1,0,1,0,0,1,0,1,2.9916666666666667
0.0,1,0,1,1,0,1,1,1,1,1,1,3.665
1.0,0,0,1,1,0,1,0,0,0,0,1,2.6733333333333333
1.0,0,0,1,0,0,0,0,0,0,0,0,0.6616666666666667
0.0,1,0,1,0,1,1,0,0,1,0,0,3.0116666666666663
0.0,0,0,1,1,0,1,1,0,0,0,1,2.881666666666667
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6766666666666666
0.0,1,0,1,1,0,0,0,1,1,1,1,3.375
1.0,0,0,1,1,0,0,0,0,1,1,1,3.1566666666666667
1.0,0,0,1,0,0,0,0,0,0,0,0,2.3633333333333337
,0,0,1,0,1,1,0,1,0,0,1,1.9583333333333333
1.0,1,0,1,0,1,0,0,1,0,0,1,1.8066666666666669
,0,0,1,0,1,1,0,1,0,0,0,1.9966666666666666
0.0,0,0,1,1,1,1,1,1,1,1,1,3.83
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6516666666666667
0.0,1,0,1,1,0,0,0,0,1,0,1,2.895
0.0,1,1,1,1,0,0,0,0,0,0,0,0.8450000000000001
0.0,1,0,1,1,1,0,1,1,1,1,1,3.6633333333333336
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6649999999999999
0.0,1,1,1,1,0,1,0,0,1,0,0,2.9066666666666667
0.0,1,1,1,0,1,1,1,1,1,1,0,3.605
0.0,0,0,1,1,1,1,1,1,1,1,1,3.8766666666666665
0.0,1,0,1,0,0,0,0,0,1,1,1,2.966666666666667
0.0,1,1,1,0,1,0,0,0,0,0,0,2.48
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6683333333333333
0.0,0,1,0,0,1,0,0,1,0,0,0,1.1683333333333332
0.0,0,0,1,0,1,1,0,0,1,1,1,2.4916666666666667
1.0,1,0,1,0,1,1,0,1,1,1,1,3.5166666666666666
1.0,1,0,1,1,0,0,0,0,0,1,1,2.841666666666667
0.0,0,0,1,1,0,0,0,0,0,0,1,2.506666666666667
1.0,1,0,1,1,0,0,0,0,0,1,1,2.8116666666666665
0.0,1,1,1,1,1,0,1,0,0,0,0,2.815
0.0,0,0,1,1,1,0,0,0,1,1,1,3.4133333333333336
1.0,0,0,1,1,1,1,1,1,1,1,0,3.8516666666666666
1.0,0,0,1,1,0,0,0,0,0,0,0,0.8433333333333334
0.0,1,1,1,0,0,0,0,0,0,0,1,0.6416666666666667
0.0,1,0,1,1,1,1,1,1,1,1,1,3.8216666666666668
1.0,0,0,1,0,1,0,1,1,1,1,0,3.503333333333333
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6466666666666666
0.0,0,0,0,0,0,1,0,0,1,1,1,1.6783333333333335
0.0,1,0,0,0,0,1,1,1,1,1,0,1.9266666666666665
0.0,0,0,1,0,1,1,1,0,0,0,1,2.81
0.0,1,1,1,1,0,1,0,0,1,1,0,3.3516666666666666
0.0,1,0,1,0,0,0,0,0,0,0,0,0.66
1.0,1,1,1,1,0,1,1,0,0,0,1,2.8266666666666667
1.0,0,0,1,0,0,0,1,0,0,1,1,2.8616666666666664
0.0,0,1,1,0,0,0,0,0,0,0,1,0.6649999999999999
0.0,0,0,1,0,1,0,0,0,0,0,0,2.5116666666666663
0.0,0,0,0,0,1,0,0,0,1,1,1,1.6266666666666665
1.0,0,0,1,1,0,0,0,0,0,0,0,1.5716666666666665
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6716666666666666
0.0,0,0,1,0,0,0,0,0,0,0,1,1.4766666666666666
0.0,0,0,1,0,0,1,0,0,0,1,0,2.81
0.0,0,0,1,1,0,0,1,1,0,0,0,1.9849999999999999
0.0,0,0,1,1,1,1,1,1,0,0,0,2.3216666666666668
0.0,1,0,0,0,1,0,0,1,0,0,0,1.2033333333333334
0.0,1,0,0,0,1,1,1,1,1,0,1,1.8866666666666667
1.0,0,0,1,0,0,0,0,1,0,0,1,2.5300000000000002
0.0,0,0,1,1,0,0,1,0,0,0,1,2.64
0.0,1,1,0,0,1,0,1,0,0,1,0,1.5
1.0,0,0,1,0,0,0,1,0,1,0,1,2.8516666666666666
1.0,0,0,1,1,0,0,0,0,1,1,1,3.1116666666666664
0.0,1,0,1,1,1,1,0,1,1,1,1,3.6550000000000002
0.0,1,1,1,1,1,1,1,1,1,1,0,2.99
0.0,0,0,1,1,1,1,0,0,0,0,0,2.808333333333333
0.0,1,1,1,1,1,1,1,1,1,1,0,3.0883333333333334
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6566666666666666
0.0,0,0,1,1,0,0,0,0,0,0,1,1.6700000000000002
0.0,0,0,1,0,1,1,0,1,1,0,1,3.0816666666666666
0.0,1,1,1,1,0,1,0,1,1,1,0,2.6550000000000002
0.0,0,0,1,0,1,1,1,1,1,1,1,3.6633333333333336
0.0,1,0,1,1,1,1,1,1,0,1,1,2.7133333333333334
0.0,1,1,1,0,0,1,0,0,0,0,0,1.6849999999999998
1.0,1,1,1,0,0,0,0,0,0,1,1,2.7016666666666667
0.0,1,1,1,1,0,1,1,0,0,0,0,2.0816666666666666
1.0,1,0,1,0,1,0,0,0,0,0,1,2.506666666666667
0.0,0,0,1,0,0,1,1,0,0,1,0,3.0133333333333336
1.0,0,0,1,1,0,0,0,0,1,0,1,2.855
1.0,0,1,1,0,0,0,1,1,1,1,1,2.43
0.0,1,1,1,1,1,0,0,1,1,0,1,2.35
0.0,1,1,1,0,0,0,0,0,0,0,0,0.67
1.0,1,0,1,1,0,0,0,0,0,0,1,2.496666666666667
0.0,1,1,1,0,1,0,1,0,1,1,0,3.356666666666667
0.0,1,1,1,1,0,0,1,1,1,1,1,3.521666666666667
0.0,1,1,1,1,1,1,1,1,1,1,1,3.81
1.0,0,0,1,0,0,0,0,0,0,0,0,0.6583333333333333
0.0,1,1,1,1,0,0,0,0,0,0,0,0.8116666666666668
0.0,1,1,1,1,1,1,1,1,0,0,0,2.328333333333333
0.0,1,1,0,0,1,1,1,0,1,1,0,1.9616666666666667
,1,0,1,1,0,1,1,0,1,1,1,3.4383333333333335
0.0,1,1,1,0,0,0,0,0,1,0,1,1.8133333333333332
0.0,1,1,0,0,0,0,0,1,1,1,0,1.6849999999999998
1.0,0,0,1,0,0,0,0,0,0,0,0,0.7016666666666667
1.0,0,0,1,1,0,1,1,0,1,1,1,3.4566666666666666
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6649999999999999
0.0,1,1,0,0,0,0,0,1,0,0,1,0.9766666666666667
0.0,1,1,1,0,1,1,0,0,0,0,1,1.825
0.0,0,0,1,0,1,1,1,0,0,0,0,2.018333333333333
0.0,1,1,1,1,0,1,1,1,1,1,1,2.8733333333333335
1.0,0,0,1,1,0,0,0,0,1,1,1,3.1816666666666666
0.0,0,0,1,0,0,0,1,1,1,0,1,2.131666666666667
0.0,0,0,1,0,0,1,0,1,0,1,1,2.1783333333333332
0.0,1,1,0,0,0,1,1,1,1,0,0,1.6733333333333333
0.0,1,1,0,0,1,1,1,1,1,1,1,2.1266666666666665
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6683333333333333
1.0,1,0,1,0,0,1,1,0,1,1,0,3.371666666666667
0.0,0,0,1,1,0,0,1,0,0,1,0,2.1666666666666665
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6416666666666667
0.0,0,1,0,0,1,0,0,1,0,0,1,1.2016666666666667
1.0,0,0,1,0,0,0,0,1,1,1,1,3.203333333333333
0.0,0,0,1,0,0,0,0,0,0,0,0,0.635
0.0,0,0,1,1,0,1,0,1,1,1,0,3.525
0.0,0,0,0,0,0,1,1,1,0,0,1,1.3466666666666667
1.0,1,1,1,1,0,1,0,0,1,1,1,3.305
0.0,1,0,1,0,1,1,1,1,1,1,1,2.8266666666666667
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6616666666666667
0.0,0,0,1,0,1,0,0,0,0,0,1,1.6483333333333334
1.0,0,0,1,0,0,0,0,0,1,1,1,2.96
0.0,0,0,1,0,1,1,0,0,0,0,0,1.8383333333333334
0.0,0,0,1,0,0,0,1,0,0,1,0,2.8266666666666667
1.0,1,0,1,0,0,0,0,0,1,0,1,2.685
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6716666666666666
0.0,1,1,1,0,0,1,0,0,1,0,1,1.9566666666666668
0.0,0,0,1,0,1,1,1,1,0,1,0,3.316666666666667
1.0,1,1,1,0,1,0,0,1,1,1,1,3.328333333333333
1.0,0,0,1,0,0,0,0,0,0,0,0,1.5116666666666667
1.0,0,0,1,0,1,0,0,0,0,0,1,1.6183333333333332
0.0,0,1,1,1,0,0,0,0,0,0,1,0.88
1.0,1,0,1,1,0,1,0,0,1,1,1,3.3400000000000003
1.0,0,0,1,0,0,0,1,0,1,1,1,3.1566666666666667
0.0,1,0,1,1,0,0,1,0,1,1,1,3.2550000000000003
0.0,1,1,1,1,0,0,1,0,1,1,0,3.3333333333333335
1.0,0,0,1,0,0,0,0,0,0,0,1,2.3366666666666664
,1,1,0,0,1,0,0,1,0,0,0,1.1400000000000001
1.0,0,0,1,0,0,1,0,1,1,1,1,3.2633333333333336
0.0,1,0,1,1,0,1,1,0,1,1,0,3.4166666666666665
1.0,1,0,1,0,0,0,0,0,0,0,0,2.3316666666666666
1.0,0,0,1,1,0,1,0,0,0,0,1,2.7116666666666664
0.0,1,0,1,1,1,1,0,1,0,0,1,2.2016666666666667
0.0,0,0,0,0,1,0,1,1,1,1,1,2.04
0.0,1,0,1,0,1,1,1,1,1,0,0,2.48
1.0,0,0,1,1,0,1,1,0,1,1,1,3.5433333333333334
0.0,0,0,0,0,1,1,1,0,0,0,0,1.32
1.0,0,0,1,0,0,0,0,0,1,1,0,2.9766666666666666
0.0,1,0,1,1,0,1,1,1,1,1,1,3.6300000000000003
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6633333333333333
1.0,1,0,1,1,0,0,1,1,1,1,1,3.4033333333333333
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6533333333333334
1.0,1,1,1,0,0,0,1,1,1,1,1,3.296666666666667
0.0,1,0,1,0,0,0,0,0,0,0,1,1.53
0.0,0,0,1,1,0,1,1,1,1,0,1,3.33
0.0,0,1,1,0,0,0,0,0,0,0,0,0.6683333333333333
0.0,0,0,0,0,1,1,1,1,1,1,0,2.145
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6549999999999999
1.0,0,0,1,1,0,0,0,0,0,1,1,2.83
1.0,0,0,1,1,1,1,0,1,1,1,1,3.605
0.0,1,1,1,1,1,1,1,1,1,1,0,2.895
0.0,1,0,1,1,0,1,1,0,1,1,1,3.4183333333333334
0.0,1,0,1,0,0,0,1,1,0,0,0,2.606666666666667
0.0,0,0,1,1,1,1,1,0,0,0,0,3.04
0.0,0,0,1,0,0,0,0,0,0,0,0,0.645
0.0,1,1,1,0,0,0,0,0,0,0,1,2.3466666666666667
0.0,0,0,0,0,1,1,1,0,0,0,0,1.3183333333333331
0.0,0,0,1,0,1,0,0,0,0,0,0,1.6716666666666666
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6799999999999999
0.0,0,0,1,0,0,0,0,0,0,0,0,1.4866666666666668
1.0,0,0,0,0,0,0,0,0,1,0,1,1.1566666666666667
0.0,1,0,1,0,1,0,0,0,1,1,1,3.1199999999999997
1.0,0,0,1,1,0,0,0,1,1,0,1,3.02
0.0,1,1,1,0,1,1,0,1,0,0,1,1.9316666666666669
0.0,1,0,1,1,1,1,1,1,1,1,0,3.7366666666666664
1.0,1,1,1,1,0,0,1,0,1,0,0,2.941666666666667
1.0,0,0,1,0,0,0,0,1,0,1,0,2.86
1.0,1,0,1,0,1,1,1,0,0,0,0,2.01
0.0,1,1,1,0,1,1,1,0,1,1,0,2.7116666666666664
0.0,0,0,1,0,0,1,1,0,1,1,1,3.328333333333333
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666
0.0,0,0,1,1,1,0,1,1,1,1,1,2.8449999999999998
0.0,0,0,0,0,1,1,1,0,1,1,0,2.0683333333333334
0.0,0,0,1,0,1,0,1,0,0,1,0,2.146666666666667
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6466666666666666
1.0,1,0,1,0,1,0,0,0,0,0,1,2.48
1.0,1,0,1,0,0,0,0,0,0,0,1,2.3483333333333336
0.0,1,0,1,1,1,0,1,0,1,1,1,3.5
0.0,1,1,1,1,0,0,0,0,0,0,0,0.8383333333333333
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6433333333333333
0.0,0,1,1,0,0,1,0,1,0,0,1,1.8433333333333333
0.0,1,0,1,1,0,0,0,0,1,1,1,3.18
1.0,1,0,1,1,0,0,0,0,1,1,1,3.128333333333333
0.0,0,0,1,0,0,0,0,0,0,0,0,0.6833333333333333
0.0,1,1,1,1,1,0,1,0,1,1,1,3.518333333333333
1.0,0,0,1,1,0,1,1,0,1,1,1,3.396666666666667
0.0,1,1,1,1,0,0,0,0,0,0,0,0.815
0.0,1,0,1,0,0,0,0,0,0,0,0,0.6566666666666666
1.0,0,0,1,1,0,0,0,0,0,0,1,2.48
1.0,1,0,1,1,0,1,0,0,1,1,1,3.3833333333333333
1.0,1,0,1,1,0,1,1,0,1,0,1,3.191666666666667
0.0,1,0,1,1,1,1,1,0,1,1,1,3.6883333333333335
0.0,1,0,1,0,0,1,0,0,0,1,1,2.795
0.0,0,0,1,1,0,0,0,0,1,0,1,2.0083333333333333
0.0,0,0,1,0,1,0,1,1,0,0,1,1.9733333333333334
1.0,0,0,1,0,0,0,0,0,0,0,0,1.48
0.0,1,0,1,0,0,1,0,0,1,0,1,2.8433333333333333
1.0,0,1,0,0,0,0,0,0,0,0,0,0.85
0.0,0,0,1,1,0,0,1,0,1,1,1,3.325
0.0,1,0,1,1,1,1,1,0,0,0,1,2.203333333333333
0.0,1,1,1,0,0,0,0,0,0,0,0,0.685
0.0,1,0,1,1,0,0,1,0,1,1,1,3.295
0.0,0,0,1,0,0,0,0,1,0,0,0,1.6400000000000001
1.0,0,0,1,0,0,0,0,0,0,0,0,0.6966666666666667
0.0,0,0,1,0,0,0,0,0,0,0,1,0.65
0.0,1,0,1,0,0,0,1,0,1,0,1,2.9
0.0,0,0,1,1,0,0,0,0,0,0,1,1.6333333333333333
1.0,1,1,1,0,0,0,0,0,1,1,1,3.003333333333333
0.0,0,0,1,0,0,0,0,0,1,1,0,3.0233333333333334
0.0,1,0,1,1,0,0,1,0,1,1,1,3.35
0.0,0,0,1,1,1,0,1,1,1,1,1,2.841666666666667
0.0,0,0,1,0,0,1,0,0,0,0,1,2.49
0.0,1,0,1,0,0,1,1,1,0,0,1,2.005
0.0,0,0,1,1,0,1,1,0,1,1,1,2.685
0.0,0,0,1,1,0,0,0,0,0,0,1,1.6716666666666666
0.0,0,0,1,0,0,1,1,1,0,1,1,3.1483333333333334
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6683333333333333
0.0,1,0,1,1,1,1,1,1,1,1,1,3.853333333333333
1.0,1,0,0,0,1,0,1,0,0,1,1,1.51
0.0,0,0,1,1,0,1,0,0,1,1,1,3.3216666666666668
,1,0,1,1,0,1,1,0,0,1,1,3.185
0.0,0,0,1,0,0,1,0,1,0,0,0,2.6866666666666665
0.0,1,0,1,1,1,1,0,1,1,1,0,2.841666666666667
0.0,1,1,1,0,0,0,0,0,0,0,1,2.3183333333333334
0.0,0,0,0,0,0,0,1,1,0,0,0,1.18
0.0,1,1,1,1,1,1,1,0,1,1,0,2.783333333333333
1.0,1,1,1,0,0,1,1,1,0,0,0,2.7933333333333334
0.0,0,1,1,1,0,0,0,0,0,0,0,0.8533333333333334
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6916666666666667
0.0,0,0,1,0,0,0,0,0,0,1,1,1.8916666666666666
0.0,1,1,1,0,0,0,0,0,0,0,0,0.67
0.0,0,0,1,0,0,0,1,1,1,1,1,3.2933333333333334
0.0,1,0,1,1,1,0,1,0,1,1,1,3.4949999999999997
1.0,1,0,1,1,0,0,1,0,1,1,1,2.433333333333333
1.0,0,0,1,1,0,1,0,0,0,0,1,2.5949999999999998
0.0,0,1,1,0,0,1,1,1,1,1,1,3.515
0.0,1,0,1,0,0,0,1,0,1,1,1,3.2266666666666666
0.0,1,1,1,1,0,0,0,0,0,0,0,0.8083333333333333
0.0,0,0,1,1,0,0,1,0,1,1,1,3.4050000000000002
0.0,0,0,1,0,0,0,0,0,1,1,1,2.1616666666666666
0.0,0,0,1,1,0,0,0,0,0,0,1,0.8416666666666667
0.0,1,1,1,1,0,0,0,0,0,0,0,0.825
1.0,1,0,1,1,1,1,0,0,1,0,1,3.225
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6549999999999999
0.0,0,0,1,0,0,0,1,1,1,1,1,2.481666666666667
0.0,1,0,1,1,1,0,1,1,1,0,0,3.3133333333333335
0.0,1,1,1,0,0,0,0,0,0,0,1,0.6383333333333333
1.0,0,0,1,0,0,0,0,0,0,0,1,2.316666666666667
0.0,0,1,1,0,0,0,0,1,0,0,1,1.6483333333333334
0.0,0,0,1,1,0,0,0,0,0,0,1,2.4566666666666666
1.0,0,0,1,0,0,0,0,0,0,1,1,2.6566666666666667
1.0,1,0,1,1,0,0,1,0,0,0,1,2.6633333333333336
0.0,1,0,1,0,1,0,0,1,1,1,0,2.48
1.0,0,0,1,1,0,0,1,0,0,1,0,2.9433333333333334
0.0,1,0,1,0,0,0,0,0,0,0,0,0.66
1.0,0,0,1,0,0,0,1,0,0,0,1,2.518333333333333
0.0,1,1,1,0,0,0,0,0,0,0,1,0.6733333333333333
0.0,1,1,1,0,0,0,0,0,0,0,1,2.3883333333333336
0.0,1,1,1,0,0,0,0,0,0,0,1,0.67
,0,0,1,0,0,0,0,0,0,0,0,2.3016666666666667
1.0,0,0,1,0,0,0,0,0,0,0,0,2.3699999999999997
0.0,1,0,1,1,0,0,1,0,1,1,1,3.35
0.0,1,1,1,1,1,0,1,1,0,0,1,2.0933333333333333
1.0,0,1,1,0,0,0,0,0,0,0,1,2.3483333333333336
0.0,1,1,1,0,0,1,1,0,1,1,0,3.3449999999999998
0.0,0,0,1,0,0,0,0,0,0,0,1,0.6766666666666666
0.0,0,0,1,1,1,1,1,0,0,0,1,3.0683333333333334
1.0,0,1,1,0,0,0,0,0,0,0,0,0.6716666666666666
1.0,0,0,1,0,1,0,0,1,0,0,0,1.8066666666666669
0.0,1,1,1,0,0,0,0,0,0,0,0,0.6783333333333333
1.0,0,0,1,0,0,0,0,0,0,0,0,2.3583333333333334
1.0,0,0,1,0,0,1,1,0,1,1,1,3.4116666666666666
0.0,0,0,0,0,0,1,1,1,1,0,1,1.6833333333333333
1.0,1,0,1,1,0,0,0,0,0,1,1,2.8333333333333335
0.0,1,0,0,0,1,1,1,0,0,0,0,1.4033333333333333
1.0,0,0,1,1,0,0,0,0,0,0,0,2.521666666666667
,1,0,0,0,0,0,0,0,0,0,1,0.8266666666666667
0.0,0,1,1,1,1,1,1,1,1,1,1,3.82
0.0,0,1,1,1,1,1,0,1,0,0,0,2.19
0.0,1,0,1,1,0,0,0,0,0,0,1,2.466666666666667
1.0,1,0,1,1,0,1,1,0,0,0,1,2.8483333333333336
0.0,1,0,1,1,0,1,1,0,1,0,1,2.3699999999999997
,0,0,1,1,0,0,0,0,1,1,1,3.118333333333333
0.0,1,0,1,1,1,1,1,0,1,1,1,3.6516666666666664
0.0,1,0,1,0,0,0,0,0,0,0,0,0.6833333333333333
0.0,1,0,1,0,1,1,0,0,1,1,1,2.485
0.0,1,1,1,1,1,0,0,0,0,0,1,2.6616666666666666
0.0,1,0,1,0,1,0,0,0,0,1,1,2.0716666666666668
,1,1,1,1,0,0,0,0,0,0,0,0.8516666666666667
0.0,0,1,1,0,0,0,0,0,0,0,0,0.7016666666666667
,0,0,1,1,0,1,1,0,1,1,1,3.5366666666666666
0.0,0,0,1,1,0,1,0,0,0,0,1,2.6533333333333333
0.0,0,0,1,0,0,1,0,1,1,1,0,2.445
0.0,0,0,1,0,0,1,1,1,1,0,0,2.3366666666666664
0.0,1,1,1,0,0,0,1,1,0,0,1,1.8133333333333332
0.0,1,0,1,0,0,0,0,0,0,0,1,0.6516666666666667
0.0,1,1,1,1,1,1,0,1,1,0,0,2.485
0.0,1,1,1,1,0,0,0,0,0,0,0,0.7966666666666666
0.0,0,0,0,0,1,1,1,1,0,0,1,1.4866666666666668
1.0,0,0,1,1,0,0,0,0,1,1,1,3.183333333333333
0.0,1,1,1,1,0,0,1,1,0,1,1,3.183333333333333
1.0,0,0,1,1,1,1,1,1,0,1,1,2.6199999999999997
0.0,0,0,1,1,1,1,1,1,1,0,0,3.4833333333333334
,1,1,0,0,0,0,0,1,1,1,0,1.7066666666666668
0.0,0,0,1,0,1,1,1,0,0,0,0,2.0466666666666664
0.0,1,1,0,0,1,0,1,0,0,1,1,1.465
1.0,1,1,1,1,0,0,0,0,0,0,1,0.8633333333333333
0.0,0,0,1,0,0,1,1,0,0,0,0,2.685
0.0,1,1,1,1,1,0,1,1,0,1,0,3.3216666666666668
0.0,1,0,1,0,0,1,1,0,1,1,1,3.265
1.0,1,0,1,1,0,1,1,0,0,1,1,3.185
0.0,1,0,1,1,1,1,1,0,0,0,0,3.0233333333333334
1.0,1,1,1,0,0,1,0,0,0,1,0,2.7766666666666664
0.0,1,1,1,1,1,1,1,0,0,1,1,3.3866666666666663
0.0,0,0,1,0,0,1,0,0,0,0,0,2.425
0.0,0,0,1,1,0,0,1,0,1,0,1,2.9650000000000003
